Asset_Number,Asset_Description,TreasuryGrid_001,TreasuryGrid_002,TreasuryGrid_003,TreasuryGrid_004,TreasuryGrid_005,TreasuryGrid_006,TreasuryGrid_007,TreasuryGrid_008,TreasuryGrid_009,TreasuryGrid_010,TreasuryGrid_011,TreasuryGrid_012,TreasuryGrid_013,TreasuryGrid_014,TreasuryGrid_015,TreasuryGrid_016,TreasuryGrid_017,TreasuryGrid_018,TreasuryGrid_019,TreasuryGrid_020,TreasuryGrid_021,TreasuryGrid_022,TreasuryGrid_023,TreasuryGrid_024,TreasuryGrid_025,TreasuryGrid_026,TreasuryGrid_027,TreasuryGrid_028,TreasuryGrid_029,TreasuryGrid_030,TreasuryGrid_031,TreasuryGrid_032,TreasuryGrid_033,TreasuryGrid_034,TreasuryGrid_035,TreasuryGrid_036,TreasuryGrid_037,TreasuryGrid_038,TreasuryGrid_039,TreasuryGrid_040,TreasuryGrid_041,TreasuryGrid_042,TreasuryGrid_043,TreasuryGrid_044,TreasuryGrid_045,TreasuryGrid_046,TreasuryGrid_047,TreasuryGrid_048,TreasuryGrid_049,TreasuryGrid_050,TreasuryGrid_051,TreasuryGrid_052,TreasuryGrid_053,TreasuryGrid_054,TreasuryGrid_055,TreasuryGrid_056
1,US Equities - US Stock Market,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5
2,Foreign Developed Equities - Intl Developed ex-US Market,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
3,Emerging Market Equities - Emerging Markets,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
4,US Treasuries - Short Term Treasury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,15.0,15.0,15.0,15.0,15.0,20.0,20.0,20.0,25.0
5,US Treasuries - Intermediate Term Treasury,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,10.0,15.0,15.0,15.0,20.0,20.0,25.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,15.0,15.0,20.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,10.0,10.0,15.0,0.0,0.0,0.0,5.0,5.0,10.0,0.0,0.0,5.0,0.0
6,US Treasuries - 10-year Treasury,0.0,5.0,10.0,15.0,20.0,25.0,0.0,5.0,10.0,15.0,20.0,0.0,5.0,10.0,15.0,0.0,5.0,10.0,0.0,5.0,0.0,0.0,5.0,10.0,15.0,20.0,0.0,5.0,10.0,15.0,0.0,5.0,10.0,0.0,5.0,0.0,0.0,5.0,10.0,15.0,0.0,5.0,10.0,0.0,5.0,0.0,0.0,5.0,10.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0
7,US Treasuries - Long Term Treasury,25.0,20.0,15.0,10.0,5.0,0.0,20.0,15.0,10.0,5.0,0.0,15.0,10.0,5.0,0.0,10.0,5.0,0.0,5.0,0.0,0.0,20.0,15.0,10.0,5.0,0.0,15.0,10.0,5.0,0.0,10.0,5.0,0.0,5.0,0.0,0.0,15.0,10.0,5.0,0.0,10.0,5.0,0.0,5.0,0.0,0.0,10.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0
8,TIPS - Inflation-Protected Bonds,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
9,Corporate Bonds - Investment Grade Corporate Bonds,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
10,Real Estate/REITs - US REIT,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
